lp_w,Pf_Pe,alpha,back_frac,mean_vx
3.75,1.75,1.9900233787637045,0.32212060000000003,22.796780644626672
3.75,1.875,1.9906030349233497,0.29268720000000004,27.114542858328594
3.75,2.0,1.9947308958636416,0.2653845,31.478406696831758
4.0,0.125,1.9491348355702323,0.5994208999999999,-12.004963479255817
4.0,0.25,2.0657562942579566,0.6555721000000001,-18.666263053430004
4.0,0.375,2.0296971488487867,0.661505,-19.175292185349566
4.0,0.5,2.0391751055237384,0.6478704,-17.395186079085132
4.0,0.625,2.0200735028758388,0.6225142,-14.30384872259056
4.0,0.75,2.0074730493622535,0.5920058,-10.642436111344082
4.0,0.875,2.042315907378237,0.5580271,-6.640133184880538
4.0,1.0,2.048008660880996,0.5228631,-2.51858621256124
4.0,1.125,1.6733572725343628,0.4867825,1.7620270626407257
4.0,1.25,1.939087481767263,0.4501986,6.151816432838446
4.0,1.375,1.9791961348955334,0.414183,10.622347205918283
4.0,1.5,1.9871743908745092,0.37954150000000003,15.094200088235102
4.0,1.625,2.000594046242667,0.3455269,19.643164347798244
4.0,1.75,1.992410513792907,0.31310520000000003,24.254370966193957
4.0,1.875,1.9862287984412386,0.28284360000000003,28.850974333517517
4.0,2.0,1.996410095972795,0.2547257,33.463075154347386
