lp_w,Pf_Ps,alpha,trap_frac,mean_vx
2.25,1.875,1.9939858487543463,0.0,17077.34375199467
2.25,2.0,1.9907086953779778,0.0,19623.797418734895
2.5,0.125,1.604720640451097,0.44554,-4175.244890898505
2.5,0.25,1.908064997711725,0.4815,-7016.1560536408
2.5,0.375,2.0026363838769936,0.4845,-8156.816963605974
2.5,0.5,2.0344584364274865,0.45614,-7779.595861378362
2.5,0.625,2.050911568140899,0.41716,-6580.523751240032
2.5,0.75,2.0300563408447645,0.37104,-4748.206226869068
2.5,0.875,1.9618124497631946,0.321,-2613.042680865838
2.5,1.0,0.9755088117189593,0.24114,-195.2879592559686
2.5,1.125,1.7566469187391305,0.13702,2256.6381212923006
2.5,1.25,1.9253505818357202,0.05306,4828.389151471214
2.5,1.375,1.957562610344786,0.01232,7542.247292553529
2.5,1.5,1.9719711009689183,0.00208,10282.191258217954
2.5,1.625,1.9817390952489506,0.0003,13030.919634779546
2.5,1.75,1.982905205162295,6e-05,15858.296822412374
2.5,1.875,1.9900728121741216,0.0,18702.952615576585
2.5,2.0,1.9881870374164357,0.0,21586.15721378263
2.75,0.125,1.7199198968979363,0.4654,-5504.391048860857
2.75,0.25,1.939634922768484,0.50264,-8828.748094393022
2.75,0.375,1.98773742014406,0.49364,-9874.800858000282
2.75,0.5,2.0251584700127006,0.46422,-9356.840136217721
2.75,0.625,2.0283954130737327,0.42194,-7809.1051656439995
2.75,0.75,2.0540614257221583,0.37688,-5736.0404381761955
2.75,0.875,2.016247993303085,0.32332,-3274.7746012924563
2.75,1.0,1.480465530581112,0.24938,-641.3694465098516
2.75,1.125,1.7551234251418777,0.13516,2139.074075560694
2.75,1.25,1.9383977983615475,0.04836,5011.440908235883
2.75,1.375,1.956963651364167,0.0099,7988.964993971957
2.75,1.5,1.9841727152965651,0.0012,11057.941994393306
2.75,1.625,1.984879437002499,0.00012,14124.96180170888
2.75,1.75,1.9885635025555854,0.0,17201.685247382306
2.75,1.875,1.991864944272409,2e-05,20353.331744803843
2.75,2.0,1.9935873078566133,0.0,23540.212017644597
3.0,0.125,1.7203046903223718,0.47466,-6448.08004595948
3.0,0.25,1.983184472783393,0.51632,-10480.159368327548
3.0,0.375,2.011166998831759,0.4976,-11717.019354400187
3.0,0.5,2.0329384620974595,0.46374,-10897.984329874873
3.0,0.625,2.033724932847474,0.4202,-9173.765016926893
