Pe_w,Pf_Pe,alpha,back_frac
1.75,4.0,2.0011755174137185,0.157104
2.0,0.25,1.737146155522723,0.5348052
2.0,0.5,1.9178416128030222,0.5414528
2.0,0.75,1.9721271154028028,0.5246323
2.0,1.0,1.2632613419123306,0.4952053
2.0,1.25,1.9122809669966725,0.46130730000000003
2.0,1.5,1.977833156107634,0.4252738
2.0,1.75,1.9810848644811787,0.38875269999999995
2.0,2.0,1.9926268256082955,0.3525572
2.0,2.25,1.9940417052516197,0.3184234
2.0,2.5,1.9960500967363055,0.2850208
2.0,2.75,1.997720929891934,0.2532752
2.0,3.0,1.998331367759491,0.22366950000000002
2.0,3.25,1.9992569942574032,0.1971201
2.0,3.5,1.9995971819326073,0.17265619999999998
2.0,3.75,2.0022093692274985,0.1507051
2.0,4.0,1.9984383575037639,0.1309895
2.25,0.25,1.885298160894354,0.5481819
2.25,0.5,2.0017904699511435,0.5539687
2.25,0.75,1.984656433799078,0.5334238
2.25,1.0,0.8649198008679622,0.4986346
2.25,1.25,1.889020193534387,0.4605136
2.25,1.5,1.9872307757895604,0.4194175
2.25,1.75,1.9880419123933155,0.37874389999999997
2.25,2.0,1.9831876214238837,0.33882660000000003
2.25,2.25,1.9978449532398044,0.3009602
2.25,2.5,1.9954992221086594,0.2648812
2.25,2.75,1.997762912838014,0.2317693
2.25,3.0,2.00024337299361,0.2018373
2.25,3.25,1.9969564037099516,0.17411790000000002
2.25,3.5,1.9982017079777064,0.1498477
2.25,3.75,2.000597075459124,0.1284526
2.25,4.0,1.9988458576395434,0.1094583
2.5,0.25,1.9295771105981059,0.5613062999999999
2.5,0.5,1.9899626860453068,0.567325
2.5,0.75,2.096537654842255,0.5415672
2.5,1.0,1.164429757386718,0.5034644
2.5,1.25,1.9274377631669966,0.45913050000000005
2.5,1.5,1.9873690689791186,0.4134668
2.5,1.75,1.9884677836594957,0.3684368
2.5,2.0,1.9949893126336726,0.3255338
2.5,2.25,1.9990612721072252,0.28455389999999997
2.5,2.5,1.9942616197425447,0.2467518
2.5,2.75,1.9950292561787164,0.21241419999999997
2.5,3.0,2.001337302832012,0.18184630000000002
2.5,3.25,1.9991389783297873,0.1541302
2.5,3.5,1.999905687563449,0.1304858
2.5,3.75,1.9990306403938136,0.1095999
2.5,4.0,2.0012338755763572,0.0926374
2.75,0.25,1.9977881859087603,0.5773133
2.75,0.5,2.052868881709494,0.5822151999999999
2.75,0.75,2.072093208230933,0.5502425
2.75,1.0,1.3407234409760926,0.5066168
2.75,1.25,1.9157364975461224,0.457814
2.75,1.5,1.9813960550347764,0.4083614
2.75,1.75,1.9811222529721242,0.3584324
2.75,2.0,1.9934470490048262,0.3124105
2.75,2.25,2.000816627878508,0.2696586
2.75,2.5,1.9979694041521923,0.23012900000000003
2.75,2.75,1.9989483257119247,0.1939244
2.75,3.0,2.0046398646711414,0.1642249
2.75,3.25,1.999376335370891,0.1366333
2.75,3.5,2.00069383487052,0.1143012
2.75,3.75,1.9985380818179466,0.0948
2.75,4.0,1.9994965919824956,0.0783048
3.0,0.25,2.013838198100837,0.5914126000000001
3.0,0.5,2.0181457259144007,0.5965441
3.0,0.75,2.052977374517315,0.559973
3.0,1.0,1.671069323585616,0.510246
3.0,1.25,1.9080120341303204,0.45644440000000003
3.0,1.5,1.9849178349884746,0.4025926
3.0,1.75,1.9935014042749966,0.3496724
3.0,2.0,1.9911493290123576,0.2997244
3.0,2.25,1.9913943004093388,0.2546148
3.0,2.5,1.9993154498240577,0.21379009999999998
3.0,2.75,1.9969959004266415,0.17853919999999998
3.0,3.0,2.0004840537338335,0.1477737
3.0,3.25,1.9984896013282785,0.1213294
3.0,3.5,2.000149560962838,0.0999483
3.0,3.75,2.002200816662021,0.0817851
3.0,4.0,2.00086540560185,0.0666875
3.25,0.25,2.01135609336462,0.6075458
3.25,0.5,2.0520711627684554,0.6083851
3.25,0.75,2.0248139746791884,0.5679404
3.25,1.0,1.9648815216071027,0.5136374
3.25,1.25,1.9070317962406997,0.45414309999999997
3.25,1.5,1.968735504107562,0.39630309999999996
3.25,1.75,1.9832662092624014,0.3396649
3.25,2.0,1.9926629742151045,0.2874809
3.25,2.25,1.9988677104799786,0.2406868
3.25,2.5,1.9940041734638487,0.1990844
3.25,2.75,1.9988385882055681,0.1638843
3.25,3.0,1.9990521794813523,0.1329821
3.25,3.25,2.0011320676962945,0.1088739
3.25,3.5,2.0001443424810197,0.0879199
3.25,3.75,2.0024478910117516,0.07124810000000001
3.25,4.0,1.9992865174057142,0.057794399999999996
3.5,0.25,2.0251801419455773,0.622965
3.5,0.5,2.0354107482849644,0.6211774
3.5,0.75,2.037406438023312,0.5760673000000001
3.5,1.0,2.016891072966672,0.5166109
