lp_w,Pf_Ps,alpha,alpha_x
2.0,1.75,1.9122250097731432,1.9126681586263097
2.0,1.875,1.9790888493227021,1.9793988475565525
2.0,2.0,1.9398735153102402,1.9400867858961448
2.25,0.125,1.6951961639880264,1.6959242240396062
2.25,0.25,1.9834129351054222,1.9839237097442717
2.25,0.375,2.092737376563483,2.0932158045630667
2.25,0.5,2.046900583183222,2.047393766210668
2.25,0.625,2.0294295249444776,2.030008890549253
2.25,0.75,2.076623695325095,2.0775100394605674
2.25,0.875,2.041777203031792,2.043172194796012
2.25,1.0,2.0186616771653965,2.0214180802276482
2.25,1.125,1.8005386061642878,1.8067661937065735
2.25,1.25,0.9112221651717501,0.9222163577757825
2.25,1.375,1.5780826708049978,1.581078628348439
2.25,1.5,1.775911779409937,1.7770117338333244
2.25,1.625,1.922434236218998,1.9231994799061776
2.25,1.75,1.9448864431102877,1.945308794916113
2.25,1.875,1.9448133286032072,1.9451029992167619
2.25,2.0,1.9619734274472744,1.962167945516113
2.5,0.125,1.8201143649883804,1.8207397271322625
2.5,0.25,2.0175513413275907,2.0179005141335544
2.5,0.375,2.0408501680113904,2.041157493251015
2.5,0.5,2.026255457230633,2.026596977261905
2.5,0.625,2.018958510741781,2.0193552325191955
2.5,0.75,2.0450279302008574,2.0456369520799558
2.5,0.875,2.0828220033849383,2.0838545204767054
2.5,1.0,2.052279289619947,2.0542697996536323
2.5,1.125,1.9928863623048647,1.9985264787173183
2.5,1.25,1.056506907937418,1.066982367329121
2.5,1.375,1.5356963310583633,1.5396083754570462
2.5,1.5,1.9030477916636226,1.9047421204738744
2.5,1.625,1.9007393061138678,1.9014535590034527
2.5,1.75,1.91347242567734,1.9138511929928954
2.5,1.875,1.9475202215226768,1.9477892461735813
2.5,2.0,1.9620628601092411,1.9622514773761912
2.75,0.125,1.8703923849799182,1.8707654137983158
2.75,0.25,2.018586901436062,2.0188335500981807
2.75,0.375,2.0230537129489794,2.0232687070751982
2.75,0.5,2.032257182983313,2.0324857286594775
2.75,0.625,2.0319380258754873,2.0322443514454345
2.75,0.75,2.053232579245017,2.053671707535717
2.75,0.875,2.032478617178043,2.0331795518133715
2.75,1.0,2.080335061166509,2.0817454280933823
2.75,1.125,2.003525035662248,2.0067012739991426
2.75,1.25,1.3993974331078036,1.4080146504720916
2.75,1.375,1.4359818648332503,1.440955639183682
2.75,1.5,1.818313879018136,1.8198067815495635
2.75,1.625,1.8934856272569824,1.8941786675443393
2.75,1.75,1.942390622772209,1.9427806492839872
2.75,1.875,1.943324963096509,1.943564441940972
2.75,2.0,1.9606021468846495,1.9607812812603265
3.0,0.125,1.940323430348119,1.9406324326327486
3.0,0.25,2.015199746582239,2.0153853939417714
3.0,0.375,2.0459725610991257,2.0461439965840422
3.0,0.5,2.0225871762341696,2.0227719549575722
3.0,0.625,2.041485905699008,2.041747292832269
3.0,0.75,2.0428688624559403,2.043193587775342
3.0,0.875,2.0174474951997543,2.017898193287518
3.0,1.0,2.035193532485238,2.036105853025203
3.0,1.125,2.0213422944709354,2.0235753847867954
3.0,1.25,1.6921870971556707,1.699736957240216
3.0,1.375,1.4144266270686783,1.4211029982253764
3.0,1.5,1.7315843731920193,1.7329440685255382
3.0,1.625,1.8753703417397323,1.8760174544185102
3.0,1.75,1.9082816484194256,1.908621924328357
3.0,1.875,1.9496844641508875,1.9499128916840072
3.0,2.0,1.9653918882467873,1.9655389734708288
3.25,0.125,1.929569147777023,1.9297940825737891
3.25,0.25,2.0033985529957397,2.0035417570733602
3.25,0.375,2.0629140731978493,2.063050276710599
3.25,0.5,2.0338336855958943,2.0339880313821386
3.25,0.625,2.0361742773731586,2.0363628332972814
3.25,0.75,2.0435594493733995,2.043821954048633
3.25,0.875,2.047399874007493,2.0478161951195575
3.25,1.0,2.0607626232019105,2.061471508661356
3.25,1.125,2.052771737869537,2.0545647702184167
3.25,1.25,1.9285243265804066,1.9346822187864892
3.25,1.375,1.2107651207843193,1.2186357861246608
3.25,1.5,1.7843538906999972,1.7861024441302922
3.25,1.625,1.8490028026749286,1.8497028043581472
3.25,1.75,1.9358785781739267,1.9362224253662188
3.25,1.875,1.9427695276949484,1.9429725910688782
3.25,2.0,1.9718987363864087,1.9720414846347858
3.5,0.125,1.9525073837349674,1.9527004356909248
3.5,0.25,2.014380137539135,2.014496660112322
3.5,0.375,2.032369900991143,2.032480119975906
3.5,0.5,2.046846291952977,2.0469693677477507
3.5,0.625,2.038982729921697,2.0391466138841956
3.5,0.75,2.0405622634211156,2.0407741378228024
3.5,0.875,2.042223853053039,2.042552129795593
3.5,1.0,2.026556984490532,2.0271498806331802
3.5,1.125,2.080826756833019,2.0823623763266617
3.5,1.25,1.972289775782617,1.976503986383145
3.5,1.375,0.9045783497051894,0.9154491513291627
3.5,1.5,1.8019353566087206,1.804175152729511
3.5,1.625,1.8743762664476546,1.875058437657967
3.5,1.75,1.9415610272245467,1.9418905114933067
3.5,1.875,1.9573351004347823,1.9575257929761936
3.5,2.0,1.9747732176443564,1.974904039963557
3.75,0.125,1.9536641612614798,1.953807792641466
3.75,0.25,2.027430985764298,2.0275239889189622
3.75,0.375,2.0405791232944215,2.040673607513088
3.75,0.5,2.045262780934752,2.045366170709807
3.75,0.625,2.0384156278620296,2.038547293222618
3.75,0.75,2.0292804920250216,2.029457261882323
3.75,0.875,2.024548186074449,2.024798033052117
3.75,1.0,2.0281332727152557,2.028569286922669
3.75,1.125,2.0218030145245693,2.022772446134072
3.75,1.25,2.042473762157973,2.0458383472827792
3.75,1.375,1.0709129604465024,1.0822331380121533
3.75,1.5,1.7862906706080073,1.7886196726709982
3.75,1.625,1.8897383746874052,1.8904139051343518
3.75,1.75,1.9415140431594713,1.9418414816563787
3.75,1.875,1.9620688032315579,1.9622653711063085
3.75,2.0,1.9551507098510177,1.9552749299994885
4.0,0.125,2.00143254022439,2.0015616787787907
4.0,0.25,2.0385398511611763,2.038620278963668
4.0,0.375,2.044495484665748,2.0445738013570405
4.0,0.5,2.0402139586307304,2.040303720358743
4.0,0.625,2.0236913965815284,2.023797955716912
4.0,0.75,2.0247742825846613,2.024912891458785
4.0,0.875,2.0326200848685056,2.0328248112760177
4.0,1.0,2.0444950810258216,2.044844390559113
4.0,1.125,2.052499911894858,2.0532668333115556
4.0,1.25,2.081317649878681,2.084076859767888
4.0,1.375,0.9273934749003052,0.9333288608432199
4.0,1.5,1.6545578564107104,1.6564598431178228
4.0,1.625,1.9434739251967719,1.9441693369165345
4.0,1.75,1.9238138708703536,1.924090445921998
4.0,1.875,1.9501635893470899,1.950338667149117
4.0,2.0,1.9660790426625967,1.9661900498910407
