lp_w,Pf_Ps,alpha,trap_frac,mean_vx
1.75,1.75,1.9289248950836928,0.21692792,7.6098914013818195
1.75,1.875,1.9394491855551808,0.20814072,9.303449450378865
1.75,2.0,1.9569863614214023,0.20115808,11.014770332912994
2.0,0.125,1.6285443240873894,0.36829022,-3.860304881656928
2.0,0.25,1.960093421511964,0.36733182,-6.538675196468046
2.0,0.375,2.00992567037375,0.35701588,-7.508008944946816
2.0,0.5,2.0418756572819774,0.34263598,-7.4528885612447
2.0,0.625,2.0577215591013083,0.32631566,-6.635244921006384
2.0,0.75,2.0407794045733407,0.31162182,-5.469892012515244
2.0,0.875,2.0220056569810763,0.29804586,-4.125968169800188
2.0,1.0,1.969461698740524,0.2858564,-2.5870328344596922
2.0,1.125,1.580157424396531,0.27343724,-0.985068146440877
2.0,1.25,1.1810679197178935,0.26229224,0.7224568178783768
2.0,1.375,1.705943049314471,0.25205912,2.4797377722238405
2.0,1.5,1.8665604137557643,0.24260612,4.221558740604709
2.0,1.625,1.8931396332154002,0.23384796,5.9707855895786786
2.0,1.75,1.9386536877931184,0.22393856,7.9539612425101325
2.0,1.875,1.9447630443485633,0.21623666,9.780302794076922
2.0,2.0,1.980112224017685,0.20882594,11.690292618847218
2.25,0.125,1.753845242909708,0.3801888,-5.155121134121207
2.25,0.25,2.024067693293445,0.38459576,-8.32465498931344
2.25,0.375,2.0373048025475855,0.37099556,-9.422792380739345
2.25,0.5,2.0449312277522997,0.3549762,-9.190430703318585
2.25,0.625,2.0356186003402534,0.33965116,-8.177975831644458
2.25,0.75,2.049673394955303,0.32346736,-6.888659782329896
2.25,0.875,2.044644129471382,0.3086454,-5.237513828991061
2.25,1.0,2.023433436081806,0.29604786,-3.5436493437751984
2.25,1.125,1.8030596244279926,0.2827653,-1.7308418066907583
2.25,1.25,0.9283427154903181,0.27070386,0.20243786669697303
2.25,1.375,1.718672922158856,0.26013238,2.0980910327229045
2.25,1.5,1.8416085421544934,0.25057832,4.092171941279171
2.25,1.625,1.9011364862825564,0.24153736,6.066527572572959
2.25,1.75,1.934927394730817,0.23254266,8.152059127942138
2.25,1.875,1.9648641866867413,0.22235678,10.339522110890949
2.25,2.0,1.9628994889345028,0.21454168,12.504714190320273
2.5,0.125,1.8237398381001417,0.39681162,-6.689225051179683
2.5,0.25,2.0131493565214464,0.39910156,-10.572874331129029
2.5,0.375,2.047710951151956,0.3846196,-11.48385812039379
2.5,0.5,2.0358839202003205,0.36692664,-10.98529703584301
2.5,0.625,2.046792580852039,0.35034066,-9.783706462224853
2.5,0.75,2.0434631591390375,0.33264044,-8.155998301599666
2.5,0.875,2.045888829978235,0.3190185,-6.403289151581231
2.5,1.0,2.0168059470830366,0.30545134,-4.511307350053174
2.5,1.125,1.9710880670963853,0.29297926,-2.494693928347711
2.5,1.25,1.0585459124364052,0.27929468,-0.41426966754684225
2.5,1.375,1.5937605789792046,0.26722336,1.8335192320060265
2.5,1.5,1.8571359062335355,0.25755608,3.9624252158630466
2.5,1.625,1.9383145704468547,0.24691928,6.16451696706023
2.5,1.75,1.9296523241408374,0.23814648,8.458054925186346
2.5,1.875,1.9495621430667247,0.22905,10.783362095184055
2.5,2.0,1.9503714958743177,0.22016504,13.072717671490102
2.75,0.125,1.8766094655205854,0.40873732,-8.243056314394929
2.75,0.25,2.0198219727779083,0.41205858,-12.638265760329634
2.75,0.375,2.041269083162861,0.39838436,-13.454286952375467
2.75,0.5,2.0455804370459703,0.37976596,-12.75510319170867
2.75,0.625,2.045799884540572,0.36058728,-11.32264884716424
2.75,0.75,2.044797934360411,0.34434734,-9.535603613613803
2.75,0.875,2.0519974390717146,0.32959898,-7.589750473644748
2.75,1.0,2.047579379383785,0.31434778,-5.456878263593084
2.75,1.125,2.016136939155252,0.30097146,-3.2691558224699193
2.75,1.25,1.4139478595681854,0.28832788,-0.991065298684563
2.75,1.375,1.459392811207336,0.2761942,1.3685368515182268
2.75,1.5,1.8028564909327094,0.26588698,3.736866492672974
2.75,1.625,1.8499279061829266,0.25469802,6.198171965647853
2.75,1.75,1.9481506483343918,0.24386216,8.70236233980222
2.75,1.875,1.9437798903789636,0.23424378,11.194934695107397
2.75,2.0,1.9609236399815078,0.22430894,13.821850068275035
3.0,0.125,1.8974164768231685,0.42338548,-9.943010625294583
3.0,0.25,2.0299599204883703,0.42609904,-14.567768623923069
3.0,0.375,2.0387821670402286,0.40985068,-15.403110664707317
3.0,0.5,2.037036101988441,0.38936984,-14.511100303805545
3.0,0.625,2.0344680206371075,0.37062948,-12.87615216775334
3.0,0.75,2.039135217146644,0.35416782,-10.898885821641402
3.0,0.875,2.0399885975515537,0.33636322,-8.696016608807593
3.0,1.0,2.0483386875931946,0.32203506,-6.412982050122115
3.0,1.125,2.0443639064412396,0.30859542,-4.022117480992448
3.0,1.25,1.739350902450489,0.29374506,-1.504851699842329
3.0,1.375,1.2756535839910625,0.28362754,0.9839369766386011
3.0,1.5,1.7906571446865394,0.2723547,3.588430466496403
3.0,1.625,1.8928575915875516,0.26094162,6.195705747071547
3.0,1.75,1.9449799642879417,0.24912048,8.942735357253692
3.0,1.875,1.946418671894002,0.23967026,11.67741519288031
3.0,2.0,1.964606137940546,0.22900222,14.422628027142768
3.25,0.125,1.941345723828037,0.43608674,-11.804173645448813
3.25,0.25,2.0425222535449437,0.4397163,-16.804753258718318
3.25,0.375,2.037057136255414,0.42175644,-17.393865685504714
3.25,0.5,2.0418567483726697,0.40149882,-16.281053550063895
3.25,0.625,2.0401651963276026,0.38096124,-14.423838862971763
3.25,0.75,2.044299061673209,0.3637352,-12.235185646062927
3.25,0.875,2.055839840980821,0.34599152,-9.885956599655348
3.25,1.0,2.050230816767964,0.32933006,-7.32432002530076
3.25,1.125,2.0278673012003363,0.3169358,-4.790687270002703
3.25,1.25,1.869310682920317,0.30372412,-2.10251500413644
3.25,1.375,1.058641222699375,0.2905601,0.6064044252912654
3.25,1.5,1.7616110815985808,0.27884052,3.378545468618611
3.25,1.625,1.9015940647940854,0.26612636,6.216864272558082
3.25,1.75,1.928278270168129,0.2539357,9.214619306391082
3.25,1.875,1.959632549943984,0.24440682,12.033677700556664
3.25,2.0,1.9689391136943244,0.23322172,15.018435846068396
3.5,0.125,1.9613348143638745,0.44662622,-13.541468530202312
3.5,0.25,2.02145633506788,0.45039456,-18.93171758544509
3.5,0.375,2.0380323094085093,0.43290468,-19.422665350523715
3.5,0.5,2.0366429312433265,0.41078938,-17.974420617848605
3.5,0.625,2.0382743681695823,0.39214004,-16.011198006715677
3.5,0.75,2.040846580229331,0.3721167,-13.585222116237553
3.5,0.875,2.040201059240996,0.35475188,-11.033839153721319
3.5,1.0,2.0509544059393736,0.33872162,-8.329804125783383
3.5,1.125,2.035498049890829,0.32506374,-5.600456439499712
3.5,1.25,1.9276286093138417,0.30957882,-2.6337118568747018
3.5,1.375,0.9202538821715889,0.29595924,0.22844831339682684
3.5,1.5,1.782216302378262,0.28409908,3.2119695092703533
3.5,1.625,1.8892083990160535,0.27203428,6.245961708026532
3.5,1.75,1.9222231709145168,0.26015738,9.299860514066731
3.5,1.875,1.9496425625387954,0.24818612,12.428883696883213
3.5,2.0,1.9686565759647912,0.23799694,15.602034910743532
3.75,0.125,1.9883266101748598,0.46037986,-15.58063202546145
3.75,0.25,2.030799655900619,0.46411022,-21.216415790140523
3.75,0.375,2.042209642011012,0.4452317,-21.359387226233526
